Word,Count
i,85
loved,5
the,380
movie,30
storyline,10
was,240
captivating,15
and,45
acting,10
superb,5
product,40
arrived,5
damaged,5
am,10
extremely,5
disappointed,10
this,5
restaurant,25
has,5
amazing,15
food,35
highly,10
recommend,15
it,120
customer,30
service,35
terrible,10
would,15
not,5
shop,5
here,5
again,5
hotel,25
room,5
clean,5
comfortable,5
had,45
a,75
pleasant,5
stay,5
book,20
just,5
average,15
nothing,5
special,5
concert,20
incredible,5
band,10
played,5
all,10
their,5
hit,5
songs,5
package,5
delivered,5
on,20
time,10
satisfied,5
with,15
tasted,5
awful,5
couldnt,30
even,5
finish,5
my,60
meal,5
staff,15
at,45
store,10
rude,5
unhelpful,10
wont,5
be,10
coming,5
back,10
beautiful,5
view,5
of,35
ocean,5
breathtaking,5
disappointment,5
plot,5
confusing,5
subpar,5
pizza,5
delicious,10
perfect,5
combination,5
toppings,5
support,15
outstanding,15
they,30
quickly,5
resolved,10
issue,20
broke,5
after,10
week,5
use,5
im,15
very,5
performance,20
mediocre,5
didnt,35
meet,10
expectations,15
noisy,5
neighbors,5
get,10
good,10
nights,5
sleep,10
masterpiece,5
writing,5
slow,5
took,5
forever,5
to,10
our,5
laptop,5
fast,5
reliable,5
exceeded,5
great,10
but,5
ending,5
disappointing,5
coffee,10
cafe,15
bitter,5
enjoy,5
friendly,5
helpful,10
provided,5
excellent,10
work,5
as,5
described,5
waste,5
money,5
put,10
an,5
unforgettable,5
show,5
unresponsive,5
never,5
addressed,5
impress,5
me,15
left,5
speechless,5
poor,5
quality,10
started,5
falling,5
apart,5
few,5
days,5
entertaining,5
balance,5
action,5
humor,5
exceptional,5
went,5
above,5
beyond,5
definitely,5
go,5
dissatisfied,5
purchase,5
boring,5
regretted,5
buying,5
tickets,5
thoughtprovoking,5
made,5
reflect,5
life,5
promptly,5
location,5
convenient,5
for,10
sightseeing,5
bit,5
predictable,5
offer,5
any,5
surprises,5
wouldnt,5
lackluster,5
failed,5
engage,5
audience,5
worked,5
perfectly,5
met,5
requirements,5
were,5
polite,5
efficient,5
uncomfortable,5
beds,5
well,5
pageturner,5
down,5
best,5
ive,5
ever,5
arrive,5
frustrated,5
delay,5
leave,5
lasting,5
impression,5
held,5
attention,5
throughout,5
overpriced,5
its,5
expected,5
better,5
classic,5
will,5
always,5
one,5
favorites,5
resolve,5
